skill,count
Markov Model,1
Mathematical Modeling,1
Meal Planning And Preparation,1
Mechanical Engineering,1
Media Buying,1
Media Planning,1
Medical Billing and Coding,1
Medical Devices,1
Medical Equipment and Technology,1
Medical Science and Research,1
Medical Terminology,1
Mental Concentration,1
Mental Health,1
Mental Health Counseling,1
Mental Health Diseases and Disorders,1
Microsoft Access,1
Microsoft Project,1
Mindfulness,1
Mobile Banking,1
Model Based Systems Engineering,1
Month End Closing,1
Motion Graphics,1
Music History,1
Music Performance,1
Musical Composition,1
NIST 800-53,1
Network Administration,1
Network Engineering,1
Network Model,1
Network Routing,1
Neurology,1
Nurse Education,1
Nursing,1
Nursing Care,1
Nursing Practices,1
Nursing Process,1
OS Process Management,1
OSI Models,1
Object-Relational Mapping,1
Oil and Gas,1
Operating Cost,1
Operating Expense,1
Operational Performance Management,1
Oral Comprehension,1
Order Fulfillment,1
Overcoming Objections,1
PHP (Scripting Language),1
Package and Software Management,1
Packaging and Labeling,1
Patch Management,1
Patient Coordination,1
Patient Safety,1
Patient Treatment,1
Payroll,1
Payroll Processing,1
Payroll Systems,1
Personal Attributes,1
Phone Sales,1
Physiology,1
Policy,1
Power Apps Component Framework,1
Power Electronics,1
Practice Management,1
Practice Management Software,1
Price Negotiation,1
Proactivity,1
Process Flow Diagrams,1
Process Validation,1
Product Flow Diagram,1
Product Quality (QA/QC),1
Project Accounting,1
Project Management Institute (PMI) Methodology,1
Prometheus (Software),1
Promotional Materials,1
Psychiatry,1
Psychology,1
Public Administration,1
Public Policies,1
Qualitative Research,1
Radiology,1
React Native,1
Recognizing Others,1
Reconciliation,1
Redis,1
Registration,1
Rehabilitation,1
Reliability,1
Remote Access Systems,1
Research Design,1
Research Reports,1
Resource Planning,1
Retail Banking,1
Revenue Cycle Management,1
Safety Assurance,1
Sales Support,1
Sample Size Determination,1
Scientific Methods,1
Scope Management,1
Scripting Languages,1
Securities (Finance),1
Security Requirements Analysis,1
Server Administration,1
Service Design,1
Service Improvement,1
Service Level,1
Service Level Agreement,1
Service Management,1
Service Recovery,1
Simulation and Simulation Software,1
Simulations,1
Six Sigma Methodology,1
Small Business Accounting,1
Small Data,1
Social Network Analysis,1
Strategic Partnership,1
Strategic Prioritization,1
Strategic Sourcing,1
Stress First Aid,1
Stress Management,1
Survey Creation,1
Sustainability Standards,1
Sustainable Design,1
Sustainable Systems,1
System Requirements,1
System Software,1
Systems Design,1
Systems Development,1
Systems Engineering,1
Tableau Software,1
Target Market,1
Tax Planning,1
Taxonomy,1
Teaching,1
Technical Product Management,1
TikTok,1
UI/UX Strategy,1
USB,1
Ubuntu,1
Unix Commands,1
User Acceptance Testing (UAT),1
Video Game Development,1
Virtualization,1
Virtualization and Virtual Machines,1
Waterfall Methodology,1
Wealth Management,1
Web Services,1
Wide Area Networks,1
Windows PowerShell,1
Windows Servers,1
WordPress,1
Work Breakdown Structure,1
Workplace Bullying Intervention,1
and Social Studies,1
iOS Development,1
